Player,#,Nation,Pos,Team,GameID,Min,PassAtt,PassLive,PassDead,FK,ThrghBall,PassUndrPress,Switch,Cross,CrnrTotal,Crnr_In,Crnr_Out,Crnr_Str,Hght_Ground,Hght_Low,Hght_High,Left_ft,Right_ft,Head,ThrowIn,OthrBdyParts,PassCmpltd,PassToOffside,PassToOutOfBnds,PassIntercepted,PassBlocked
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,2,68,17,12,5,0,0,2,1,0,0,0,0,0,14,1,2,3,13,0,0,1,16,0,0,0,0
Henry Wingo\Henry-Wingo,23,us USA,FW,SEA,2,22,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,2,0,0,0,0
Víctor Rodríguez\Victor-Rodriguez,8,es ESP,LW,SEA,2,64,20,20,0,0,1,4,0,3,0,0,0,0,12,3,5,9,10,0,0,1,14,0,0,1,0
Nouhou Tolo\Nouhou-Tolo,5,cm CMR,LBLW,SEA,2,26,13,10,3,1,0,1,0,1,0,0,0,0,8,3,2,8,2,1,2,0,11,0,0,0,0
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,2,90,27,27,0,0,0,7,0,2,0,0,0,0,22,4,1,1,24,2,0,0,17,0,0,1,2
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,2,90,52,44,8,2,1,9,2,4,4,1,2,0,37,5,10,37,7,4,2,2,31,1,2,3,3
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,2,90,51,46,5,4,0,10,1,2,0,0,0,0,41,4,6,8,40,1,1,0,38,0,0,0,3
Gustav Svensson\Gustav-Svensson,4,se SWE,CMCB,SEA,2,90,39,36,3,3,0,3,2,1,0,0,0,0,29,2,8,4,34,1,0,0,36,0,1,0,1
Brad Smith\Brad-Smith,11,au AUS,LBLW,SEA,2,90,40,35,5,3,1,4,1,4,0,0,0,0,29,5,6,27,9,2,2,0,29,0,0,1,4
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,2,64,29,29,0,0,0,1,0,0,0,0,0,0,25,2,2,3,24,2,0,0,26,0,0,0,0
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,2,26,19,18,1,0,0,3,1,0,0,0,0,0,11,4,4,1,14,3,1,0,16,0,1,0,1
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,2,90,31,31,0,0,0,2,2,0,0,0,0,0,17,4,10,2,28,1,0,0,24,0,0,0,2
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,2,90,44,34,10,1,0,6,2,1,0,0,0,0,27,10,7,3,31,1,9,0,34,0,0,3,2
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,2,90,32,24,8,2,0,1,1,0,0,0,0,0,11,0,21,1,23,0,0,6,20,0,2,0,1
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,2,80,28,26,2,0,1,4,0,0,0,0,0,0,20,6,2,5,22,1,0,0,25,0,0,1,0
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,2,10,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0
Diego Rossi\Diego-Rossi,9,uy URU,LW,LAFC,2,90,48,46,2,1,1,4,0,1,0,0,0,0,44,3,1,6,41,0,1,0,43,0,1,0,2
Carlos Vela\Carlos-Vela,10,mx MEX,RWFW,LAFC,2,90,34,32,2,2,1,3,0,4,0,0,0,0,25,5,4,26,6,1,0,1,26,0,0,0,3
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,2,90,58,53,5,2,2,7,0,0,1,1,0,0,50,5,3,41,15,0,2,0,48,0,0,0,2
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,2,90,72,70,2,1,1,6,0,1,0,0,0,0,59,10,3,9,62,0,1,0,60,0,0,3,2
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,2,89,77,69,8,4,2,5,4,3,4,2,0,0,60,9,8,8,66,2,0,0,71,1,1,0,0
Peter-Lee Vassell\Peter-Lee-Vassell,11,jm JAM,DM,LAFC,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,2,90,66,57,9,0,0,5,0,1,0,0,0,0,46,14,6,47,7,2,9,0,59,0,1,0,0
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,2,90,51,48,3,3,0,1,0,0,0,0,0,0,45,2,4,18,32,1,0,0,49,0,0,0,1
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,2,90,60,57,3,3,0,1,0,0,0,0,0,0,52,3,5,5,53,1,0,0,54,0,0,1,0
Steven Beitashour\Steven-Beitashour,3,ir IRN,RB,LAFC,2,80,41,36,5,0,0,0,0,0,0,0,0,0,32,5,4,7,27,2,5,0,37,0,0,0,0
Lee Nguyen\Lee-Nguyen,24,us USA,CMRB,LAFC,2,10,18,18,0,0,0,0,2,0,0,0,0,0,17,1,0,0,18,0,0,0,18,0,0,0,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,2,90,23,16,7,3,0,0,1,0,0,0,0,0,15,1,7,1,18,0,0,4,19,0,1,0,0
