Player,#,Nation,Pos,Team,GameID,Min,CrdY,CrdR,2CrdY,Fls,FlsDrawn,Offside,Crosses,Interception,TklW,PKwon,PKcon,OG,Recov,AerialWon,AerialLost,AerialWon%
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,3,90,0,0,0,2,1,0,0,2,0,0,0,0,6,1,2,33.3
Saad Abdul-Salaam\Saad-Abdul-Salaam,12,us USA,FW,SEA,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Handwalla Bwana\Handwalla-Bwana,70,ae UAE,LW,SEA,3,79,0,0,0,1,0,0,0,1,1,0,0,0,6,0,0,
Henry Wingo\Henry-Wingo,23,us USA,LW,SEA,3,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,3,70,0,0,0,0,1,0,0,1,0,0,0,0,3,2,1,66.7
Alex Roldan\Alex-Roldan,16,us USA,RW,SEA,3,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,3,90,1,0,0,5,2,0,5,1,1,0,0,0,11,2,0,100
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,3,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,3,90,0,0,0,1,1,0,0,1,2,0,0,0,10,3,1,75
Brad Smith\Brad-Smith,11,au AUS,LB,SEA,3,90,0,0,0,0,1,0,1,2,4,0,0,0,6,0,0,
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,3,90,1,0,0,1,0,0,0,1,1,0,0,0,6,0,2,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,3,90,0,0,0,1,1,0,0,0,2,0,0,0,7,2,1,66.7
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,3,89,0,1,0,3,0,0,0,0,1,0,0,0,8,2,2,50
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,3,90,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,3,77,0,0,0,1,1,0,0,0,0,0,0,0,2,1,2,33.3
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,3,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Diego Rossi\Diego-Rossi,9,uy URU,LWRW,LAFC,3,90,0,0,0,0,3,2,1,0,0,0,0,0,6,0,0,
Carlos Vela\Carlos-Vela,10,mx MEX,RWFWLW,LAFC,3,90,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,3,90,1,0,0,1,3,0,1,2,2,0,0,0,6,0,0,
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,3,90,0,0,0,1,2,0,1,3,2,0,0,0,13,1,1,50
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,3,90,0,0,0,1,2,0,0,4,1,0,0,0,12,3,1,75
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,3,70,0,0,0,1,0,1,3,0,1,0,0,0,14,2,2,50
Mohamed El Monir\Mohamed-El-Monir,13,ly LBY,LB,LAFC,3,20,0,0,0,0,0,0,1,0,2,0,0,0,6,4,1,80
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,3,90,0,0,0,1,0,0,0,0,2,0,0,0,21,1,1,50
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,3,90,0,0,0,0,0,0,0,1,0,0,0,0,20,1,2,33.3
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,3,45,1,0,0,1,1,0,0,1,0,0,0,0,9,0,0,
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,3,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,3,90,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
