Player,#,Nation,Pos,Team,GameID,Min,Touches,TchDefPen,TchDef_3rd,TchMid_3rd,TchAtt_3rd,TchAtt_Pen,TchLive,DrblSucc,DrblAtt,DrblSucc%,DrblPast#Pl,DrblMegs,Carries,CarriesTotDist,CarriesPrgDist,PassTarget,PassRec,PassRec%,Miscontrol,Dispos
Jordan Morris\Jordan-Morris,13,us USA,FW,SEA,3,90,32,0,2,17,15,2,29,1,3,33.3,2,0,23,146,92,54,20,37,9,2
Saad Abdul-Salaam\Saad-Abdul-Salaam,12,us USA,FW,SEA,3,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
Handwalla Bwana\Handwalla-Bwana,70,ae UAE,LW,SEA,3,79,30,2,8,17,9,1,30,2,3,66.7,3,0,21,139,106,24,15,62.5,1,1
Henry Wingo\Henry-Wingo,23,us USA,LW,SEA,3,11,7,1,3,3,2,0,7,0,0,,0,0,2,5,2,5,2,40,0,0
Harry Shipp\Harry-Shipp,19,us USA,RW,SEA,3,70,23,1,8,14,3,0,23,0,0,,0,0,13,37,16,21,14,66.7,1,1
Alex Roldan\Alex-Roldan,16,us USA,RW,SEA,3,20,13,1,1,7,6,0,13,0,1,0,0,0,9,46,12,14,9,64.3,0,1
Nicolás Lodeiro\Nicolas-Lodeiro,10,uy URU,AM,SEA,3,90,63,8,23,26,17,1,56,0,4,0,0,1,35,192,111,41,30,73.2,3,1
Cristian Roldan\Cristian-Roldan,7,us USA,CM,SEA,3,17,4,0,0,4,0,0,4,0,0,,0,0,1,0,0,6,3,50,0,0
Jordy Delem\Jordy-Delem,21,mq MTQ,CM,SEA,3,90,34,4,15,17,3,0,33,0,0,,0,0,13,56,19,15,12,80,1,0
Brad Smith\Brad-Smith,11,au AUS,LB,SEA,3,90,52,5,26,19,10,2,43,3,5,60,4,1,27,211,163,27,20,74.1,0,1
Kim Kee-hee\Kim-Kee-hee,20,kr KOR,CB,SEA,3,90,31,4,22,8,1,1,29,0,0,,0,0,15,92,16,17,15,88.2,0,0
Román Torres\Roman-Torres,29,pa PAN,CB,SEA,3,90,26,7,18,9,1,1,25,1,1,100,1,0,10,73,47,9,8,88.9,0,0
Kelvin Leerdam\Kelvin-Leerdam,18,nl NED,RB,SEA,3,89,29,7,15,10,5,0,24,1,1,100,1,0,11,46,19,12,8,66.7,0,0
Stefan Frei\Stefan-Frei,24,ch SUI,GK,SEA,3,90,42,38,42,0,0,0,16,0,0,,0,0,7,14,6,5,5,100,0,0
Christian Ramirez\Christian-Ramirez,21,us USA,FW,LAFC,3,77,18,0,1,10,9,5,16,1,2,50,1,0,13,30,13,27,13,48.1,1,2
Adrien Perez\Adrien-Perez,26,us USA,RWFW,LAFC,3,13,11,0,0,6,6,2,11,0,1,0,0,0,8,37,17,12,9,75,0,1
Diego Rossi\Diego-Rossi,9,uy URU,LWRW,LAFC,3,90,73,0,3,19,58,11,73,4,7,57.1,4,0,73,680,419,77,65,84.4,1,2
Carlos Vela\Carlos-Vela,10,mx MEX,RWFWLW,LAFC,3,90,76,0,4,18,59,8,65,4,6,66.7,4,1,63,490,207,75,61,81.3,3,0
Mark-Anthony Kaye\Mark-Anthony-Kaye,14,ca CAN,CM,LAFC,3,90,84,1,8,53,29,4,83,1,2,50,1,0,79,298,153,80,72,90,3,3
Latif Blessing\Latif-Blessing,7,gh GHA,CMRB,LAFC,3,90,88,2,14,48,32,5,85,3,6,50,3,0,78,413,168,70,61,87.1,2,4
Eduard Atuesta\Eduard-Atuesta,20,co COL,DM,LAFC,3,90,127,3,18,75,43,3,124,2,4,50,2,0,101,445,238,108,102,94.4,2,1
Jordan Harvey\Jordan-Harvey,2,us USA,LB,LAFC,3,70,70,2,7,38,29,0,65,0,0,,0,0,52,196,92,53,46,86.8,0,0
Mohamed El Monir\Mohamed-El-Monir,13,ly LBY,LB,LAFC,3,20,23,1,6,10,11,3,23,0,0,,0,0,18,103,47,15,13,86.7,0,0
Eddie Segura\Eddie-Segura,4,co COL,CB,LAFC,3,90,86,4,33,52,3,1,85,0,0,,0,0,61,326,163,60,58,96.7,0,0
Walker Zimmerman\Walker-Zimmerman,25,us USA,CB,LAFC,3,90,67,0,30,37,2,0,67,0,1,0,0,0,41,211,89,45,42,93.3,1,0
Tristan Blackmon\Tristan-Blackmon,27,us USA,RB,LAFC,3,45,62,1,15,31,17,0,55,0,1,0,0,0,41,108,69,45,42,93.3,0,1
Lee Nguyen\Lee-Nguyen,24,us USA,CM,LAFC,3,45,39,0,2,15,25,3,39,1,1,100,1,0,34,194,97,39,34,87.2,0,0
Tyler Miller\Tyler-Miller,1,us USA,GK,LAFC,3,90,21,18,20,2,0,0,19,0,0,,0,0,13,54,17,11,10,90.9,1,0
